# t,R1(MeOH),R2(MeOH),P1(MeOH),P2(MeOH),MeO-(MeOH),TS1#(MeOH),Br-(MeOH),TS2#(MeOH)
2.263298390526323478e-02,2.562671157938553601e-01,6.899498834674883119e-02,1.420474385599644097e-02,6.053315200339923902e-02,5.252621041406043689e-01,0.000000000000000000e+00,7.473789585939569213e-02,0.000000000000000000e+00
2.328527062851015045e-02,2.548014467942706918e-01,6.860584523605788021e-02,1.456643156772838808e-02,6.202627640194293551e-02,5.234072920303286525e-01,0.000000000000000000e+00,7.659270796967133921e-02,0.000000000000000000e+00
2.578298208498292637e-02,2.493118971070309997e-01,6.714778804887841512e-02,1.592111758481240535e-02,6.761919725927803548e-02,5.164596851559095647e-01,0.000000000000000000e+00,8.354031484409044084e-02,0.000000000000000000e+00
2.854861237389378845e-02,2.434513610886893942e-01,6.559023388006898769e-02,1.736737602315185924e-02,7.359102900808961456e-02,5.090415949687585595e-01,0.000000000000000000e+00,9.095840503124148768e-02,0.000000000000000000e+00
3.061160217609784628e-02,2.392217046808264858e-01,6.446549943200244326e-02,1.841118152314707990e-02,7.790161436402387451e-02,5.036872041128290789e-01,0.000000000000000000e+00,9.631279588717095441e-02,0.000000000000000000e+00
3.161090000328336397e-02,2.372148973412789852e-01,6.393167482331048312e-02,1.890643079215700850e-02,7.994699704325340661e-02,5.011465721645895766e-01,0.000000000000000000e+00,9.885342783541041511e-02,0.000000000000000000e+00
3.500166613811818428e-02,2.306013386951252520e-01,6.217159769571898448e-02,2.053857460635379051e-02,8.668848900280182179e-02,4.927729363908444071e-01,0.000000000000000000e+00,1.072270636091556262e-01,0.000000000000000000e+00
3.875614526372350710e-02,2.236129322708660938e-01,6.031038438646562500e-02,2.226325782355523600e-02,9.381342551911289740e-02,4.839233166573319034e-01,0.000000000000000000e+00,1.160766833426681299e-01,0.000000000000000000e+00
4.081546956813045940e-02,2.199208105780370293e-01,5.932649238823566040e-02,2.317445733277381098e-02,9.757823970095333421e-02,4.792473029662728812e-01,0.000000000000000000e+00,1.207526970337271383e-01,0.000000000000000000e+00
4.291335131806941344e-02,2.162573418213323551e-01,5.834984512684535107e-02,2.407859440978522142e-02,1.013142186420369351e-01,4.746071869481778838e-01,0.000000000000000000e+00,1.253928130518221495e-01,0.000000000000000000e+00
4.320693990330418816e-02,2.157523419654778229e-01,5.821518619714752957e-02,2.420322811029104737e-02,1.018292437270834072e-01,4.739675281626255510e-01,0.000000000000000000e+00,1.260324718373744546e-01,0.000000000000000000e+00
4.751648309750199084e-02,2.085466789856035286e-01,5.629298014584210863e-02,2.598160044896874812e-02,1.091787404195854322e-01,4.648396591314458148e-01,0.000000000000000000e+00,1.351603408685541907e-01,0.000000000000000000e+00
5.101933696016307251e-02,2.029628597575859061e-01,5.480238105277609323e-02,2.735972233763794489e-02,1.148750368519998871e-01,4.577652408103621839e-01,0.000000000000000000e+00,1.422347591896378494e-01,0.000000000000000000e+00
